entry,at,order
"""Alex St @ hgOw7xr4v6"" folds",2020-12-31T07:36:11.948Z,160940017194900
"""Sean @ dT098Gir6A"" posts a big blind of 2",2020-12-31T06:54:51.954Z,160939769195507
"""Steve @ vKtqqQXap1"" posts a small blind of 1",2020-12-31T06:54:51.954Z,160939769195506
"Your hand is Q♥, 6♦",2020-12-31T06:54:51.954Z,160939769195503
"Player stacks: #1 ""Steve @ vKtqqQXap1"" (307) | #4 ""Sean @ dT098Gir6A"" (285) | #7 ""Alex St @ hgOw7xr4v6"" (84)",2020-12-31T06:54:51.954Z,160939769195502
"-- starting hand #98  (No Limit Texas Hold'em) (dead button) --",2020-12-31T06:54:51.954Z,160939769195501
"The player ""ChadSlap @ 8jqQZhEvdi"" stand up with the stack of 284.",2020-12-31T06:54:51.954Z,160939769195500
"-- ending hand #97 --",2020-12-31T06:54:45.929Z,160939768593103
"""Steve @ vKtqqQXap1"" shows a 4♦, Q♠.",2020-12-31T06:54:45.929Z,160939768593102
"""Sean @ dT098Gir6A"" collected 8 from pot with Pair, 3's (combination: 3♣, 3♠, K♣, 10♣, 7♥)",2020-12-31T06:54:45.929Z,160939768593101
"""Sean @ dT098Gir6A"" shows a 3♣, 4♥.",2020-12-31T06:54:45.929Z,160939768593100
"""Alex St @ hgOw7xr4v6"" checks",2020-12-31T06:54:45.120Z,160939768512100
"""Sean @ dT098Gir6A"" checks",2020-12-31T06:54:44.019Z,160939768401900
"""Steve @ vKtqqQXap1"" checks",2020-12-31T06:54:43.162Z,160939768316300
"River: 5♥, 7♥, 10♣, 3♠ [K♣]",2020-12-31T06:54:40.810Z,160939768081700
"""Alex St @ hgOw7xr4v6"" checks",2020-12-31T06:54:40.003Z,160939768000400
"""Sean @ dT098Gir6A"" checks",2020-12-31T06:54:38.792Z,160939767879200
"""Steve @ vKtqqQXap1"" checks",2020-12-31T06:54:35.898Z,160939767589900
"Turn: 5♥, 7♥, 10♣ [3♠]",2020-12-31T06:54:33.194Z,160939767319700
"""Alex St @ hgOw7xr4v6"" checks",2020-12-31T06:54:32.389Z,160939767239000
"""Sean @ dT098Gir6A"" checks",2020-12-31T06:54:30.942Z,160939767094300
"""Steve @ vKtqqQXap1"" checks",2020-12-31T06:54:30.083Z,160939767008400
"Flop:  [5♥, 7♥, 10♣]",2020-12-31T06:54:24.752Z,160939766475300
"""Steve @ vKtqqQXap1"" checks",2020-12-31T06:54:23.943Z,160939766394400
"""ChadSlap @ 8jqQZhEvdi"" folds",2020-12-31T06:54:21.327Z,160939766132800
"""Alex St @ hgOw7xr4v6"" calls 2",2020-12-31T06:54:20.521Z,160939766052200
"""Sean @ dT098Gir6A"" checks",2020-12-31T06:54:18.739Z,160939765873900
"""Sean @ dT098Gir6A"" posts a missed big blind of 2",2020-12-31T06:53:49.119Z,160939762912210
"""Sean @ dT098Gir6A"" posts a missing small blind of 1",2020-12-31T06:53:49.119Z,160939762912209
"""Steve @ vKtqqQXap1"" posts a big blind of 2",2020-12-31T06:53:49.119Z,160939762912208
"""ChadSlap @ 8jqQZhEvdi"" posts a small blind of 1",2020-12-31T06:53:49.119Z,160939762912207
"Your hand is 4♦, Q♠",2020-12-31T06:53:49.119Z,160939762912203
"Player stacks: #1 ""Steve @ vKtqqQXap1"" (309) | #4 ""Sean @ dT098Gir6A"" (280) | #7 ""Alex St @ hgOw7xr4v6"" (86) | #10 ""ChadSlap @ 8jqQZhEvdi"" (285)",2020-12-31T06:53:49.119Z,160939762912202
"-- starting hand #97  (No Limit Texas Hold'em) (dealer: ""Alex St @ hgOw7xr4v6"") --",2020-12-31T06:53:49.119Z,160939762912201
"The player ""Sean @ dT098Gir6A"" joined the game with a stack of 280.",2020-12-31T06:53:49.119Z,160939762912200
"The player ""Sean @ dT098Gir6A"" sit back with the stack of 280.",2020-12-31T06:53:45.160Z,160939762516100
"-- ending hand #96 --",2020-12-31T06:53:43.075Z,160939762307701
"""Alex St @ hgOw7xr4v6"" collected 86 from pot with Two Pair, K's & 7's (combination: K♣, K♠, 7♠, 7♦, J♦)",2020-12-31T06:53:43.075Z,160939762307700
"River: 7♠, 7♦, 3♠, K♠ [2♥]",2020-12-31T06:53:40.053Z,160939762005600
"""ChadSlap @ 8jqQZhEvdi"" shows a 8♦, 3♦.",2020-12-31T06:53:37.030Z,160939761703101
"""Alex St @ hgOw7xr4v6"" shows a K♣, J♦.",2020-12-31T06:53:37.030Z,160939761703100
"""Steve @ vKtqqQXap1"" folds",2020-12-31T06:53:36.222Z,160939761622500
"""ChadSlap @ 8jqQZhEvdi"" calls 37",2020-12-31T06:53:35.366Z,160939761536700
"""Alex St @ hgOw7xr4v6"" bets 37 and go all in",2020-12-31T06:53:30.403Z,160939761040700
