entry,at,order
"The player ""Sean @ 6Vj8h9FQMu"" passed the room ownership to ""Charlie @ aABpeVhrzE"".",2020-11-26T05:50:19.919Z,160636981992100
"""Ben @ HxeA6HL5ee"" shows a J♥, 8♥.",2020-11-26T05:43:05.028Z,160636938502900
"-- ending hand #42 --",2020-11-26T05:43:03.511Z,160636938351202
"""Ben @ HxeA6HL5ee"" collected 2 from pot",2020-11-26T05:43:03.511Z,160636938351201
"Uncalled bet of 1 returned to ""Ben @ HxeA6HL5ee""",2020-11-26T05:43:03.511Z,160636938351200
"""Chad @ 8jqQZhEvdi"" folds",2020-11-26T05:43:02.703Z,160636938270400
"""Steve @ vKtqqQXap1"" folds",2020-11-26T05:43:01.811Z,160636938181200
"""Charlie @ aABpeVhrzE"" folds",2020-11-26T05:42:53.135Z,160636937313500
"""Ben @ HxeA6HL5ee"" posts a big blind of 2",2020-11-26T05:41:19.789Z,160636927979107
"""Chad @ 8jqQZhEvdi"" posts a small blind of 1",2020-11-26T05:41:19.789Z,160636927979106
"Your hand is 9♦, A♦",2020-11-26T05:41:19.789Z,160636927979103
"Player stacks: #2 ""Charlie @ aABpeVhrzE"" (171) | #6 ""Steve @ vKtqqQXap1"" (139) | #7 ""Chad @ 8jqQZhEvdi"" (40) | #10 ""Ben @ HxeA6HL5ee"" (50)",2020-11-26T05:41:19.789Z,160636927979101
"-- starting hand #42  (No Limit Texas Hold'em) (dealer: ""Steve @ vKtqqQXap1"") --",2020-11-26T05:41:19.789Z,160636927979100
"""Charlie @ aABpeVhrzE"" shows a 8♠, 4♦.",2020-11-26T05:40:57.489Z,160636925749000
"-- ending hand #41 --",2020-11-26T05:40:50.956Z,160636925095802
"""Steve @ vKtqqQXap1"" collected 48 from pot with Two Pair, 10's & 3's (combination: 10♥, 10♠, 3♠, 3♥, Q♣)",2020-11-26T05:40:50.956Z,160636925095801
"""Steve @ vKtqqQXap1"" shows a 10♥, 3♠.",2020-11-26T05:40:50.956Z,160636925095800
"""Charlie @ aABpeVhrzE"" calls 12",2020-11-26T05:40:50.151Z,160636925015200
"""Ben @ HxeA6HL5ee"" folds",2020-11-26T05:40:03.528Z,160636920352900
"""Chad @ 8jqQZhEvdi"" folds",2020-11-26T05:39:57.015Z,160636919701600
"""Steve @ vKtqqQXap1"" bets 12",2020-11-26T05:39:52.503Z,160636919250300
"river: 5♥, 2♦, 3♥, Q♣ [10♠]",2020-11-26T05:39:31.208Z,160636917121500
"""Ben @ HxeA6HL5ee"" calls 2",2020-11-26T05:39:30.396Z,160636917039700
"""Chad @ 8jqQZhEvdi"" calls 2",2020-11-26T05:39:24.972Z,160636916497300
"""Steve @ vKtqqQXap1"" calls 2",2020-11-26T05:39:18.525Z,160636915852600
"""Charlie @ aABpeVhrzE"" bets 2",2020-11-26T05:39:00.140Z,160636914014100
"""Ben @ HxeA6HL5ee"" checks",2020-11-26T05:38:56.373Z,160636913637400
"""Chad @ 8jqQZhEvdi"" checks",2020-11-26T05:38:51.586Z,160636913158600
"""Steve @ vKtqqQXap1"" checks",2020-11-26T05:38:48.631Z,160636912863200
"turn: 5♥, 2♦, 3♥ [Q♣]",2020-11-26T05:38:35.107Z,160636911510800
"""Chad @ 8jqQZhEvdi"" calls 2",2020-11-26T05:38:34.297Z,160636911429800
"""Steve @ vKtqqQXap1"" calls 2",2020-11-26T05:38:26.115Z,160636910611500
"""Charlie @ aABpeVhrzE"" calls 2",2020-11-26T05:38:13.343Z,160636909334400
"""Ben @ HxeA6HL5ee"" bets 2",2020-11-26T05:38:09.719Z,160636908972000
"""Chad @ 8jqQZhEvdi"" checks",2020-11-26T05:38:00.184Z,160636908018400
"""Steve @ vKtqqQXap1"" checks",2020-11-26T05:37:58.104Z,160636907810500
"flop:  [5♥, 2♦, 3♥]",2020-11-26T05:37:48.431Z,160636906843100
"""Chad @ 8jqQZhEvdi"" checks",2020-11-26T05:37:47.623Z,160636906762300
"""Steve @ vKtqqQXap1"" calls 2",2020-11-26T05:37:46.705Z,160636906670500
"""Charlie @ aABpeVhrzE"" calls 2",2020-11-26T05:37:41.897Z,160636906189700
"""Ben @ HxeA6HL5ee"" calls 2",2020-11-26T05:37:31.521Z,160636905152200
"""Chad @ 8jqQZhEvdi"" posts a big blind of 2",2020-11-26T05:37:23.443Z,160636904344407
"""Steve @ vKtqqQXap1"" posts a small blind of 1",2020-11-26T05:37:23.443Z,160636904344406
"Your hand is 10♥, 3♠",2020-11-26T05:37:23.443Z,160636904344403
"Player stacks: #2 ""Charlie @ aABpeVhrzE"" (189) | #6 ""Steve @ vKtqqQXap1"" (109) | #7 ""Chad @ 8jqQZhEvdi"" (46) | #10 ""Ben @ HxeA6HL5ee"" (56)",2020-11-26T05:37:23.443Z,160636904344401
"-- starting hand #41  (No Limit Texas Hold'em) (dealer: ""Charlie @ aABpeVhrzE"") --",2020-11-26T05:37:23.443Z,160636904344400
"-- ending hand #40 --",2020-11-26T05:37:15.537Z,160636903553902
"""Charlie @ aABpeVhrzE"" collected 70 from pot with Three of a Kind, 6's (combination: 6♦, 6♠, 6♣, Q♣, 9♠)",2020-11-26T05:37:15.537Z,160636903553901
"""Charlie @ aABpeVhrzE"" shows a 6♦, 6♠.",2020-11-26T05:37:15.537Z,160636903553900
"""Chad @ 8jqQZhEvdi"" calls 10",2020-11-26T05:37:14.732Z,160636903473300
"""Steve @ vKtqqQXap1"" calls 10",2020-11-26T05:37:12.403Z,160636903240400
"""Charlie @ aABpeVhrzE"" bets 10",2020-11-26T05:36:58.814Z,160636901881500
"river: 3♦, 8♠, Q♣, 6♣ [9♠]",2020-11-26T05:36:38.790Z,160636899879300
"""Chad @ 8jqQZhEvdi"" calls 4",2020-11-26T05:36:37.982Z,160636899798300
"""Steve @ vKtqqQXap1"" calls 4",2020-11-26T05:36:37.083Z,160636899708400
"""Charlie @ aABpeVhrzE"" raises to 4",2020-11-26T05:36:17.243Z,160636897724300
"""Chad @ 8jqQZhEvdi"" bets 2",2020-11-26T05:36:13.202Z,160636897320300
"""Steve @ vKtqqQXap1"" checks",2020-11-26T05:36:01.548Z,160636896154900
"""Charlie @ aABpeVhrzE"" checks",2020-11-26T05:35:56.558Z,160636895655800
"turn: 3♦, 8♠, Q♣ [6♣]",2020-11-26T05:35:50.198Z,160636895019900
"""Charlie @ aABpeVhrzE"" calls 4",2020-11-26T05:35:49.391Z,160636894939200
"""Ben @ HxeA6HL5ee"" folds",2020-11-26T05:35:46.647Z,160636894665300
"""Chad @ 8jqQZhEvdi"" calls 4",2020-11-26T05:35:40.062Z,160636894006600
"""Steve @ vKtqqQXap1"" raises to 4",2020-11-26T05:35:36.280Z,160636893628100
"""Charlie @ aABpeVhrzE"" bets 2",2020-11-26T05:35:17.564Z,160636891756400
"flop:  [3♦, 8♠, Q♣]",2020-11-26T05:34:58.565Z,160636889856600
"""Ben @ HxeA6HL5ee"" calls 4",2020-11-26T05:34:57.738Z,160636889773800
"""Chad @ 8jqQZhEvdi"" calls 4",2020-11-26T05:34:55.703Z,160636889570400
"""Steve @ vKtqqQXap1"" calls 4",2020-11-26T05:34:49.089Z,160636888909000
"""Charlie @ aABpeVhrzE"" raises to 4",2020-11-26T05:34:44.250Z,160636888425000
"""Ben @ HxeA6HL5ee"" calls 2",2020-11-26T05:34:38.503Z,160636887850400
"""Chad @ 8jqQZhEvdi"" calls 2",2020-11-26T05:34:33.034Z,160636887303500
"""Steve @ vKtqqQXap1"" posts a big blind of 2",2020-11-26T05:34:27.901Z,160636886790507
"""Charlie @ aABpeVhrzE"" posts a small blind of 1",2020-11-26T05:34:27.901Z,160636886790506
"Your hand is Q♠, 3♠",2020-11-26T05:34:27.901Z,160636886790503
"Player stacks: #2 ""Charlie @ aABpeVhrzE"" (141) | #6 ""Steve @ vKtqqQXap1"" (131) | #7 ""Chad @ 8jqQZhEvdi"" (68) | #10 ""Ben @ HxeA6HL5ee"" (60)",2020-11-26T05:34:27.901Z,160636886790501
"-- starting hand #40  (No Limit Texas Hold'em) (dealer: ""Ben @ HxeA6HL5ee"") --",2020-11-26T05:34:27.901Z,160636886790500
"""Steve @ vKtqqQXap1"" shows a 10♣, 2♠.",2020-11-26T05:34:15.936Z,160636885593600
"-- ending hand #39 --",2020-11-26T05:34:09.760Z,160636884976102
"""Steve @ vKtqqQXap1"" collected 21 from pot",2020-11-26T05:34:09.760Z,160636884976101
"Uncalled bet of 21 returned to ""Steve @ vKtqqQXap1""",2020-11-26T05:34:09.760Z,160636884976100
"""Charlie @ aABpeVhrzE"" folds",2020-11-26T05:34:08.933Z,160636884893300
"""Steve @ vKtqqQXap1"" bets 21",2020-11-26T05:34:06.027Z,160636884602700
"""Charlie @ aABpeVhrzE"" checks",2020-11-26T05:33:49.707Z,160636882970700
"river: 3♦, A♦, 2♥, 10♥ [7♣]",2020-11-26T05:33:42.182Z,160636882218800
"""Charlie @ aABpeVhrzE"" calls 6",2020-11-26T05:33:41.372Z,160636882137500
"""Steve @ vKtqqQXap1"" raises to 6",2020-11-26T05:33:36.720Z,160636881672100
"""Charlie @ aABpeVhrzE"" bets 2",2020-11-26T05:33:20.202Z,160636880020300
